forecaster,cycle,date,state,call,source,notes
Cook,1998,4/28/1997,IL,Lean R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,KS,Solid R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,MA,Lean R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,MD,Toss-up,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,ME,Likely I,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,MI,Lean R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,MN,Toss-up,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,NE,Lean R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,NH,Likely D,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,NM,Lean R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,NV,Toss-up,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,NY,Lean R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,OH,Toss-up,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,OK,Likely R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,OR,Likely D,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,PA,Likely R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,RI,Lean R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,SC,Likely R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,SD,Solid R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,TN,Likely R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,TX,Solid R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,VT,Solid D,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,WI,Likely R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,4/28/1997,WY,Likely R,CPR-1997-04-28-_97-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,AK,Likely D,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,AL,Toss-up,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,AR,Solid R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,AZ,Lean R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,CA,Toss-up,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,CO,Toss-up,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,CT,Lean R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,FL,Lean R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,GA,Toss-up,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,HI,Toss-up,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,IA,Lean R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,ID,Solid R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,IL,Toss-up,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,KS,Solid R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,MA,Toss-up,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,MD,Toss-up,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,ME,Likely I,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,MI,Lean R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,MN,Toss-up,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,NE,Likely R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,NH,Solid D,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,NM,Lean R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,NV,Likely R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,NY,Likely R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,OH,Lean R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,OK,Solid R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,OR,Solid D,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,PA,Solid R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,RI,Toss-up,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,SC,Likely R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,SD,Solid R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,TN,Solid R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,TX,Solid R,CPR-1998-05-20-_98governorRATINGS.pdf,
